cle,nom,departement,latitude,longitude
ambrieres,Ambrières,51,48.629,4.82924
ambrieres les vallees,Ambrières-les-Vallées,53,48.42272,-0.62416
ambrines,Ambrines,62,50.30811,2.46698
ambronay,Ambronay,1,46.00559,5.35761
ambrugeat,Ambrugeat,19,45.53222,2.08527
ambrumesnil,Ambrumesnil,76,49.85848,0.98376
ambrus,Ambrus,47,44.23065,0.24632
ambutrix,Ambutrix,1,45.93671,5.33281
amecourt,Amécourt,27,49.37674,1.7333
amel sur l etang,Amel-sur-l'Étang,55,49.25723,5.64725
amelecourt,Amelécourt,57,48.84069,6.48798
amelie les bains palalda,Amélie-les-Bains-Palalda,66,42.44369,2.68338
amendeuix oneix,Amendeuix-Oneix,64,43.3445,-1.0437
amenoncourt,Amenoncourt,54,48.63007,6.78444
amenucourt,Amenucourt,95,49.11033,1.65005
ames,Ames,62,50.53555,2.41535
amettes,Amettes,62,50.52701,2.39396
ameugny,Ameugny,71,46.52385,4.66808
ameuvelle,Ameuvelle,88,47.94965,5.95257
amfreville,Amfreville,14,49.25014,-0.24158
amfreville la mi voie,Amfreville-la-Mi-Voie,76,49.40443,1.12471
amfreville les champs,Amfreville-les-Champs,27,49.31266,1.3215
amfreville les champs,Amfreville-les-Champs,76,49.69852,0.82624
amfreville saint amand,Amfreville-Saint-Amand,27,49.21307,0.92513
amfreville sous les monts,Amfreville-sous-les-Monts,27,49.30282,1.26637
amfreville sur iton,Amfreville-sur-Iton,27,49.15673,1.14647
amfroipret,Amfroipret,59,50.27764,3.73565
amiens,Amiens,80,49.90095,2.29007
amifontaine,Amifontaine,2,49.49879,3.92279
amigny,Amigny,50,49.15685,-1.18526
amigny rouy,Amigny-Rouy,2,49.61083,3.30289
amillis,Amillis,77,48.73555,3.13534
amilly,Amilly,28,48.4423,1.40659
amilly,Amilly,45,47.98671,2.78218
amions,Amions,42,45.87701,4.04077
amirat,Amirat,6,43.8963,6.81256
ammerschwihr,Ammerschwihr,68,48.11948,7.25998
amne,Amné,72,48.04033,-0.04367
amneville,Amnéville,57,49.2397,6.09947
amoncourt,Amoncourt,70,47.73473,6.06264
amondans,Amondans,25,47.07153,6.03511
amont et effreney,Amont-et-Effreney,70,47.86723,6.5625
amorots succos,Amorots-Succos,64,43.36255,-1.12436
amou,Amou,40,43.59387,-0.74368
ampilly le sec,Ampilly-le-Sec,21,47.81007,4.5033
ampilly les bordes,Ampilly-les-Bordes,21,47.63892,4.62699
amplepuis,Amplepuis,69,45.9652,4.32676
amplier,Amplier,62,50.13813,2.39741
ampoigne,Ampoigné,53,47.80514,-0.82334
amponville,Amponville,77,48.28744,2.53069
ampriani,Ampriani,2B,42.25366,9.35732
ampuis,Ampuis,69,45.50326,4.80319
ampus,Ampus,83,43.62836,6.37188
amure,Amuré,79,46.2569,-0.60868
amy,Amy,60,49.64141,2.83395
anaa,Anaa,98,,
anais,Anais,16,45.76899,0.20602
anais,Anais,17,46.17551,-0.90433
anan,Anan,31,43.35225,0.81008
ance,Ance,64,43.1446,-0.68762
ance feas,Ance Féas,64,43.16806,-0.69733
anceaumeville,Anceaumeville,76,49.56951,1.06535
ancelle,Ancelle,5,44.61907,6.22962
ancemont,Ancemont,55,49.06498,5.38366
ancenis,Ancenis,44,47.38333,-1.18242
